bursary_id,name,provider,minimum_household_income,minimum_aps,provinces,faculties,additional_criteria,deadline
BURS001,NSFAS Bursary,National Student Financial Aid Scheme,350000,30,"Western Cape;Gauteng;KwaZulu-Natal;Eastern Cape;Free State;Limpopo;Mpumalanga;North West;Northern Cape","All Faculties","South African Citizen;Financial Need",2024-11-30
BURS002,SASOL Bursary,SASOL Limited,500000,35,"All Provinces","Engineering;Science;Commerce","South African Citizen;Academic Excellence",2024-10-15
BURS003,Old Mutual Bursary,Old Mutual,400000,32,"All Provinces","Commerce;Science","South African Citizen;Leadership Potential",2024-09-30
BURS004,Eskom Bursary,Eskom Holdings,450000,34,"All Provinces","Engineering;Science","South African Citizen;Engineering Focus",2024-08-31
BURS005,Shoprite Bursary,Shoprite Holdings,300000,28,"All Provinces","Commerce;Science","South African Citizen;Retail Interest",2024-10-01
BURS006,ABSA Bursary,ABSA Group,400000,32,"All Provinces","Commerce;Science","South African Citizen;Banking Interest",2024-07-31
BURS007,Nedbank Bursary,Nedbank Group,380000,30,"All Provinces","Commerce;Science","South African Citizen;Financial Services",2024-11-15
BURS008,MTN Bursary,MTN Group,350000,30,"All Provinces","Engineering;Science;Commerce","South African Citizen;Technology Interest",2024-12-31
BURS009,FNB Bursary,FNB Bank,400000,32,"All Provinces","Commerce;Science","South African Citizen;Banking Career",2024-09-15
BURS010,Standard Bank Bursary,Standard Bank Group,420000,33,"All Provinces","Commerce;Science","South African Citizen;Financial Services",2024-10-20
BURS011,Transnet Bursary,Transnet SOC Limited,450000,34,"All Provinces","Engineering;Science","South African Citizen;Transportation",2024-08-15
BURS012,Telkom Bursary,Telkom SA SOC Limited,380000,30,"All Provinces","Engineering;Science","South African Citizen;Telecommunications",2024-09-30
BURS013,Anglo American Bursary,Anglo American,500000,35,"All Provinces","Engineering;Science","South African Citizen;Mining Interest",2024-07-31
BURS014,De Beers Bursary,De Beers Group,480000,34,"All Provinces","Engineering;Science","South African Citizen;Mining Focus",2024-08-31
BURS015,Impala Platinum Bursary,Impala Platinum Holdings,460000,33,"All Provinces","Engineering;Science","South African Citizen;Mining Career",2024-09-15
BURS016,Exxaro Bursary,Exxaro Resources,420000,32,"All Provinces","Engineering;Science","South African Citizen;Mining Industry",2024-10-31
