career_id,name,description,category,required_courses,alternative_courses,skills_required,average_salary_entry,average_salary_mid,average_salary_senior,job_market_outlook,growth_rate,learn_more_url
CAREER001,Medical Doctor,"Diagnose and treat patients, perform surgeries, and provide medical care",Healthcare,"COURSE001","COURSE007","Communication;Problem Solving;Empathy;Attention to Detail",450000,800000,1200000,excellent,15,https://www.healthprofessions.gov.za
CAREER002,Civil Engineer,"Design and oversee construction of infrastructure projects",Engineering,"COURSE002","COURSE011;COURSE016","Mathematics;Problem Solving;Project Management;Technical Drawing",350000,600000,900000,good,8,https://www.ecsa.co.za
CAREER003,Accountant,"Manage financial records, audits, and taxation",Finance,"COURSE003","COURSE023","Analytical;Attention to Detail;Numeracy",300000,550000,850000,excellent,12,https://www.saica.co.za
CAREER004,Lawyer,"Represent clients in legal matters, provide legal advice",Legal,"COURSE004","","Research;Communication;Negotiation",400000,700000,1000000,good,6,https://www.lssa.org.za
CAREER005,Psychologist,"Study human behavior and provide therapy",Healthcare,"COURSE005","","Empathy;Research;Communication",320000,580000,900000,excellent,18,https://www.psyssa.com
CAREER006,Software Developer,"Design, develop, and maintain software applications",Technology,"COURSE006","COURSE028;COURSE042","Programming;Problem Solving;Teamwork",350000,650000,950000,excellent,20,https://www.techcentral.co.za
CAREER007,Veterinarian,"Provide healthcare to animals",Healthcare,"COURSE007","COURSE001","Animal Care;Problem Solving;Communication",330000,600000,850000,good,10,https://www.sava.co.za
CAREER008,Teacher,"Educate learners at various levels",Education,"COURSE008","","Communication;Patience;Curriculum Design",250000,450000,650000,excellent,5,https://www.sace.org.za
CAREER009,Pharmacist,"Dispense medicines, advise on drug safety",Healthcare,"COURSE009","COURSE001","Attention to Detail;Pharmacology Knowledge",370000,620000,880000,excellent,12,https://www.pharmcouncil.co.za
CAREER010,Social Worker,"Assist individuals and communities with social challenges",Social Services,"COURSE010","","Empathy;Problem Solving;Communication",280000,480000,700000,excellent,8,https://www.sacssp.org.za
CAREER011,Mechanical Engineer,"Design and develop mechanical systems and machines",Engineering,"COURSE011","COURSE002;COURSE016","Mathematics;Problem Solving;CAD;Project Management",360000,620000,900000,good,9,https://www.ecsa.co.za
CAREER012,Mathematician,"Solve complex mathematical problems and develop theories",Science,"COURSE012","COURSE038","Analytical;Problem Solving;Research;Logic",320000,580000,850000,good,7,https://www.sams.org.za
CAREER013,English Teacher,"Teach English language and literature",Education,"COURSE013","COURSE008","Communication;Patience;Literature Knowledge",250000,450000,650000,excellent,5,https://www.sace.org.za
